__label__sadness __label__fear	this code is scary ☹️
__label__love __label__joy	i have a script in which i need to process a file using ajax . everything in the script works , except i can not get the right variable . i have tried everything and i currently have this in its place i was wondering if anyone could tell me how to successfully set whatever is in this field as a variable in the ajax script that i have . all help is extremely appreciated , thanks for the help !
__label__love __label__joy	i have set up the gravatar ror plugin successfully ( yeah ! ) but when someone does not have a gravatar account , i want it to display the identicon , which i guess shows up when d = identicon in the gravatar url….but since i am using the plugin , i am basically saying gravatar_for ( user ) so….is there a way to add that value ? thanks !
__label__love __label__joy	nice ! i love the video software ! lol . had to download it . anyway , i fixed the open modal , i did n't fix teh fixed modal . i 'll get back to you in a minute
__label__love __label__joy	great time saver and hidden gem . excellent !
__label__love __label__joy	@bober02 if u are in this industry sooner or later you will " meet " martin thompson 's excellent blog , i 'm glad to introduce you to it . 🙂 http://mechanical-sympathy.blogspot.com/ / /memory-barriersfences.html happy reading !
__label__sadness	is packed - decimal part of the ebcdic format , or is this just a file which happens to use both ? i 'm not familiar with that format , i 'm afraid ☹️
__label__sadness	i 've updated the fiddle . i had to use classes to get it to work , so its not % perfect imo .
__label__sadness	if it 's forms auth then yes , that 's weird . i 'm afraid i do n't have any idea !
__label__sadness	i 'm afraid i ca n't really accept an answer here as it turns out that it ca n't really be done , without using a workaround , which i did n't want to do . sorry !
__label__sadness	i am sorry to say this but most silverlight grids do not support cell merging . at least not out of the box . i have resorted to using component one studio for silverlight in order to achieve this , and even then it has n't been exactly a walk in the park . consider c1 data grid control . here is a sample on with sample code and a small write up . the down side of such solutions is that c1's controls are extremely expensive ☹️ i wish micro$oft came up with some enhancements in sl5 that would accommodate for such issues .
__label__sadness	perhaps i am missing something , but i am just learning javascript . my understanding of single origin policy is that google analytics should not be able to send data back to google . how is it able to transmit send data to google without violating the policy ?
__label__sadness	that 's depressing 😕 are you sure i ca n't get a collection of all controls on the page with a particular class and give them a single data source ?
__label__sadness	right ... if only i was using sql server … informix unfortunately ☹️ ☹️ ☹️
__label__sadness	not sure this answers the question accurately , what does everyone else think ?
__label__sadness	that 's really sad …
__label__sadness	* oh so very sad * ☹️
__label__sadness	my guess is that you would have to extend the classes for datatip , to check for null hitdata objects , to kill / stop the drawing of the display . i do not think there is a way to do that normally in flex . you would have to customize and override the hitdata class unfortunately . what a pain ! !
__label__sadness	its really sad ☹️ to hear " we can n't fix footer or header view " .. it always get scroll with rows .
__label__sadness	that 's terrible ☹️
__label__sadness	it 's very painful to add multiple tickets to trac or to have it as your own todo list . that causes people to use their own task management tools so tasks are then spread all around . is there any plugin or macro that would quicken the process of adding a ticket ?
__label__sadness	i 'm not for sure how the controlcollection of asp . net works , so maybe someone can shed some light on this for me . i recently discovered the magic that is extension methods and linq . well , i was very sad to find that this is n't valid syntax however from what i can tell , does implement the interface which provides such methods , so what gives ? why does n't that just work ? i have found a decent work around for this issue at least :
